          #|A|B|C|D||1|2|3|
===========+=+=+=+=++=+=+=+
          0|0|0|0|0||0|0|0|
          1|0|0|0|1||1|1|0|
          2|0|0|1|0||0|1|1|
          3|0|0|1|1||0|0|1|
          4|0|1|0|0||0|0|0|
          5|0|1|0|1||0|1|0|
          6|0|1|1|0||0|1|0|
          7|0|1|1|1||0|1|1|
          8|1|0|0|0||0|0|0|
          9|1|0|0|1||1|0|0|
         10|1|0|1|0||0|0|1|
         11|1|0|1|1||0|0|1|
         12|1|1|0|0||0|0|0|
         13|1|1|0|1||1|1|1|
         14|1|1|1|0||0|1|0|
         15|1|1|1|1||0|1|1|
